junction,hour,day_of_week,weather,vehicles,congestion_score,high_congestion
Sector 4,14,Sat,Foggy,95,1.4,0
Udiapole,11,Fri,Foggy,121,1.8,0
Fatehsagar,15,Sun,Rainy,285,4.1,0
Sector 4,23,Sun,Clear,232,3.4,0
Delhi Gate,18,Mon,Clear,458,6.7,0
Hathi Pol,7,Sun,Foggy,263,3.8,0
Fatehsagar,20,Thu,Foggy,134,2.0,0
Fatehsagar,16,Tue,Foggy,75,1.1,0
Sector 4,22,Tue,Cloudy,281,4.1,0
Surajpole,4,Tue,Foggy,134,2.0,0
Delhi Gate,21,Thu,Cloudy,202,2.9,0
Sector 4,15,Sat,Clear,282,4.1,0
Delhi Gate,5,Mon,Rainy,114,1.7,0
Delhi Gate,7,Sun,Rainy,183,2.7,0
Hathi Pol,17,Thu,Rainy,469,6.8,0
Fatehsagar,11,Tue,Rainy,164,2.4,0
Udiapole,14,Fri,Cloudy,113,1.6,0
Hathi Pol,8,Wed,Cloudy,487,7.1,1
Hathi Pol,12,Sun,Foggy,220,3.2,0
Delhi Gate,14,Thu,Cloudy,156,2.3,0
Bapu Bazaar,9,Thu,Foggy,446,6.5,0
Fatehsagar,15,Mon,Foggy,145,2.1,0
Surajpole,6,Mon,Rainy,207,3.0,0
Hathi Pol,16,Thu,Cloudy,126,1.8,0
Udiapole,22,Tue,Cloudy,284,4.1,0
Bapu Bazaar,20,Wed,Foggy,195,2.8,0
Bapu Bazaar,21,Sun,Foggy,136,2.0,0
Surajpole,6,Mon,Clear,256,3.7,0
Hathi Pol,13,Sun,Clear,274,4.0,0
Udiapole,14,Tue,Foggy,198,2.9,0
Fatehsagar,20,Sun,Clear,106,1.5,0
Chetak Circle,6,Fri,Clear,152,2.2,0
Udiapole,8,Mon,Foggy,406,5.9,0
Surajpole,18,Tue,Foggy,329,4.8,0
Bapu Bazaar,15,Tue,Cloudy,94,1.4,0
Fatehsagar,7,Wed,Foggy,221,3.2,0
Udiapole,17,Wed,Foggy,526,7.7,1
Chetak Circle,22,Fri,Rainy,137,2.0,0
Chetak Circle,17,Tue,Cloudy,393,5.7,0
Delhi Gate,19,Sat,Cloudy,373,5.4,0
Delhi Gate,6,Tue,Cloudy,217,3.2,0
Sector 4,2,Wed,Rainy,228,3.3,0
Surajpole,17,Sat,Foggy,541,7.9,1
Hathi Pol,9,Mon,Cloudy,368,5.4,0
Udiapole,6,Mon,Cloudy,99,1.4,0
Udiapole,16,Sun,Clear,225,3.3,0
Hathi Pol,13,Thu,Cloudy,133,1.9,0
Sector 4,23,Wed,Foggy,140,2.0,0
Bapu Bazaar,2,Thu,Foggy,183,2.7,0
Bapu Bazaar,11,Sat,Clear,140,2.0,0
Sector 4,12,Wed,Cloudy,186,2.7,0
Bapu Bazaar,1,Fri,Cloudy,294,4.3,0
Delhi Gate,2,Tue,Cloudy,158,2.3,0
Udiapole,4,Fri,Rainy,106,1.5,0
Sector 4,10,Sat,Cloudy,232,3.4,0
Udiapole,7,Wed,Foggy,70,1.0,0
Hathi Pol,22,Sat,Foggy,139,2.0,0
Chetak Circle,22,Tue,Rainy,89,1.3,0
Delhi Gate,11,Mon,Rainy,161,2.3,0
Fatehsagar,6,Mon,Cloudy,94,1.4,0
Delhi Gate,14,Sat,Clear,126,1.8,0
Sector 4,23,Thu,Rainy,226,3.3,0
Fatehsagar,16,Wed,Rainy,136,2.0,0
Chetak Circle,3,Wed,Cloudy,197,2.9,0
Sector 4,21,Mon,Cloudy,150,2.2,0
Surajpole,12,Sun,Rainy,295,4.3,0
Udiapole,17,Fri,Clear,435,6.3,0
Chetak Circle,0,Sun,Rainy,141,2.1,0
Udiapole,15,Tue,Cloudy,194,2.8,0
Bapu Bazaar,12,Fri,Cloudy,77,1.1,0
Surajpole,9,Fri,Rainy,372,5.4,0
Surajpole,11,Sat,Clear,243,3.5,0
Chetak Circle,1,Mon,Rainy,74,1.1,0
Surajpole,22,Sun,Rainy,107,1.6,0
Fatehsagar,2,Sun,Cloudy,291,4.2,0
Surajpole,9,Mon,Clear,457,6.7,0
Udiapole,1,Sun,Foggy,183,2.7,0
Udiapole,22,Mon,Clear,124,1.8,0
Sector 4,12,Sat,Rainy,298,4.3,0
Udiapole,12,Thu,Rainy,87,1.3,0
Sector 4,17,Fri,Rainy,343,5.0,0
Udiapole,2,Sat,Clear,222,3.2,0
Fatehsagar,6,Wed,Cloudy,124,1.8,0
Hathi Pol,13,Tue,Rainy,191,2.8,0
Sector 4,19,Thu,Rainy,390,5.7,0
Delhi Gate,16,Wed,Clear,217,3.2,0
Bapu Bazaar,20,Fri,Foggy,52,0.8,0
Chetak Circle,11,Sun,Foggy,296,4.3,0
Udiapole,15,Mon,Cloudy,166,2.4,0
Surajpole,23,Fri,Cloudy,148,2.2,0
Hathi Pol,11,Sat,Rainy,274,4.0,0
Udiapole,14,Tue,Clear,201,2.9,0
Surajpole,9,Sat,Rainy,288,4.2,0
Bapu Bazaar,6,Thu,Cloudy,195,2.8,0
Bapu Bazaar,19,Thu,Clear,507,7.4,1
Bapu Bazaar,4,Tue,Clear,290,4.2,0
Surajpole,0,Wed,Cloudy,165,2.4,0
Udiapole,16,Wed,Foggy,174,2.5,0
Bapu Bazaar,2,Thu,Foggy,137,2.0,0
Fatehsagar,12,Thu,Clear,286,4.2,0
Sector 4,13,Sun,Rainy,84,1.2,0
Surajpole,23,Mon,Foggy,239,3.5,0
Surajpole,17,Sun,Rainy,383,5.6,0
Udiapole,3,Sun,Foggy,277,4.0,0
Surajpole,17,Wed,Foggy,489,7.1,1
Surajpole,4,Tue,Rainy,222,3.2,0
Bapu Bazaar,15,Wed,Cloudy,226,3.3,0
Udiapole,0,Mon,Foggy,175,2.5,0
Bapu Bazaar,20,Sat,Foggy,284,4.1,0
Sector 4,13,Thu,Rainy,275,4.0,0
Hathi Pol,14,Thu,Cloudy,138,2.0,0
Sector 4,8,Mon,Foggy,448,6.5,0
Hathi Pol,14,Sun,Foggy,275,4.0,0
Bapu Bazaar,16,Tue,Cloudy,270,3.9,0
Sector 4,23,Thu,Foggy,196,2.9,0
Udiapole,3,Fri,Cloudy,200,2.9,0
Chetak Circle,11,Sun,Cloudy,260,3.8,0
Bapu Bazaar,4,Thu,Rainy,74,1.1,0
Hathi Pol,4,Fri,Clear,65,0.9,0
Fatehsagar,10,Mon,Cloudy,496,7.2,1
Hathi Pol,5,Mon,Rainy,292,4.3,0
Fatehsagar,6,Sun,Clear,122,1.8,0
Surajpole,23,Thu,Foggy,178,2.6,0
Sector 4,13,Wed,Clear,91,1.3,0
Fatehsagar,23,Fri,Cloudy,196,2.9,0
Hathi Pol,10,Tue,Cloudy,585,8.5,1
Surajpole,12,Thu,Cloudy,211,3.1,0
Chetak Circle,1,Tue,Cloudy,129,1.9,0
Udiapole,6,Thu,Cloudy,285,4.1,0
Udiapole,19,Wed,Rainy,369,5.4,0
Udiapole,3,Wed,Cloudy,232,3.4,0
Fatehsagar,7,Sun,Rainy,195,2.8,0
Chetak Circle,19,Sun,Foggy,432,6.3,0
Fatehsagar,21,Wed,Cloudy,138,2.0,0
Sector 4,20,Sat,Cloudy,174,2.5,0
Fatehsagar,18,Wed,Clear,274,4.0,0
Chetak Circle,12,Mon,Foggy,183,2.7,0
Chetak Circle,13,Mon,Cloudy,70,1.0,0
Sector 4,9,Sat,Cloudy,395,5.7,0
Chetak Circle,10,Fri,Foggy,505,7.4,1
Hathi Pol,1,Tue,Rainy,145,2.1,0
Chetak Circle,8,Thu,Cloudy,374,5.4,0
Udiapole,16,Thu,Clear,97,1.4,0
Hathi Pol,2,Sat,Cloudy,284,4.1,0
Hathi Pol,23,Mon,Clear,88,1.3,0
Sector 4,5,Sun,Clear,80,1.2,0
Delhi Gate,4,Thu,Cloudy,283,4.1,0
Delhi Gate,4,Mon,Cloudy,59,0.9,0
Chetak Circle,21,Fri,Clear,79,1.1,0
Hathi Pol,14,Tue,Foggy,298,4.3,0
Delhi Gate,22,Fri,Foggy,293,4.3,0
Delhi Gate,16,Sat,Cloudy,67,1.0,0
Chetak Circle,8,Wed,Rainy,623,9.1,1
Delhi Gate,2,Wed,Foggy,137,2.0,0
Fatehsagar,19,Wed,Cloudy,508,7.4,1
Surajpole,16,Fri,Foggy,174,2.5,0
Sector 4,9,Thu,Rainy,341,5.0,0
Surajpole,2,Tue,Cloudy,272,4.0,0
Chetak Circle,17,Wed,Rainy,254,3.7,0
Udiapole,17,Sat,Cloudy,393,5.7,0
Sector 4,16,Sat,Rainy,240,3.5,0
Chetak Circle,23,Wed,Foggy,217,3.2,0
Hathi Pol,2,Wed,Foggy,58,0.8,0
Udiapole,2,Tue,Rainy,158,2.3,0
Surajpole,5,Wed,Rainy,186,2.7,0
Chetak Circle,12,Tue,Rainy,203,3.0,0
Hathi Pol,23,Sat,Cloudy,181,2.6,0
Sector 4,14,Wed,Foggy,258,3.8,0
Sector 4,8,Fri,Cloudy,374,5.4,0
Bapu Bazaar,3,Sun,Foggy,192,2.8,0
Hathi Pol,13,Fri,Clear,148,2.2,0
Fatehsagar,4,Sat,Cloudy,170,2.5,0
Delhi Gate,1,Tue,Foggy,101,1.5,0
Udiapole,10,Fri,Foggy,287,4.2,0
Hathi Pol,8,Tue,Cloudy,630,9.2,1
Bapu Bazaar,23,Fri,Cloudy,54,0.8,0
Delhi Gate,2,Fri,Foggy,69,1.0,0
Delhi Gate,8,Tue,Cloudy,503,7.3,1
Chetak Circle,2,Thu,Rainy,195,2.8,0
Delhi Gate,1,Fri,Cloudy,160,2.3,0
Fatehsagar,11,Wed,Cloudy,51,0.7,0
Sector 4,9,Sun,Cloudy,469,6.8,0
Bapu Bazaar,8,Sat,Foggy,419,6.1,0
Delhi Gate,14,Thu,Rainy,53,0.8,0
Chetak Circle,7,Tue,Clear,219,3.2,0
Fatehsagar,4,Thu,Clear,158,2.3,0
Surajpole,10,Mon,Rainy,425,6.2,0
Sector 4,1,Mon,Rainy,238,3.5,0
Sector 4,23,Fri,Rainy,144,2.1,0
Bapu Bazaar,14,Fri,Foggy,154,2.2,0
Sector 4,5,Wed,Clear,57,0.8,0
Delhi Gate,7,Sun,Rainy,116,1.7,0
Chetak Circle,4,Sat,Foggy,289,4.2,0
Sector 4,15,Thu,Clear,240,3.5,0
Sector 4,17,Mon,Cloudy,448,6.5,0
Surajpole,5,Fri,Foggy,58,0.8,0
Surajpole,4,Sat,Clear,271,3.9,0
Udiapole,15,Thu,Foggy,166,2.4,0
Fatehsagar,12,Fri,Clear,60,0.9,0
Delhi Gate,4,Fri,Clear,148,2.2,0
Sector 4,12,Mon,Cloudy,278,4.0,0
Hathi Pol,16,Mon,Foggy,91,1.3,0
Sector 4,17,Fri,Rainy,538,7.8,1
Chetak Circle,7,Tue,Cloudy,213,3.1,0
Udiapole,12,Fri,Cloudy,169,2.5,0
Fatehsagar,18,Sat,Clear,378,5.5,0
Hathi Pol,2,Fri,Rainy,61,0.9,0
Udiapole,23,Wed,Foggy,86,1.3,0
Bapu Bazaar,7,Sun,Rainy,123,1.8,0
Fatehsagar,1,Wed,Rainy,297,4.3,0
Sector 4,7,Wed,Rainy,122,1.8,0
Sector 4,12,Tue,Rainy,101,1.5,0
Fatehsagar,12,Tue,Rainy,248,3.6,0
Sector 4,0,Fri,Clear,179,2.6,0
Delhi Gate,5,Wed,Clear,295,4.3,0
Fatehsagar,23,Tue,Cloudy,105,1.5,0
Udiapole,18,Mon,Clear,403,5.9,0
Fatehsagar,15,Fri,Cloudy,72,1.0,0
Hathi Pol,7,Sat,Cloudy,152,2.2,0
Sector 4,0,Sun,Foggy,89,1.3,0
Delhi Gate,15,Thu,Rainy,113,1.6,0
Delhi Gate,8,Fri,Clear,474,6.9,0
Bapu Bazaar,12,Thu,Foggy,134,2.0,0
Udiapole,10,Wed,Clear,488,7.1,1
Surajpole,12,Sun,Cloudy,206,3.0,0
Surajpole,20,Thu,Clear,255,3.7,0
Fatehsagar,9,Wed,Rainy,486,7.1,1
Bapu Bazaar,3,Mon,Cloudy,228,3.3,0
Chetak Circle,5,Thu,Cloudy,246,3.6,0
Fatehsagar,6,Sun,Foggy,296,4.3,0
Bapu Bazaar,4,Fri,Rainy,272,4.0,0
Udiapole,10,Wed,Cloudy,412,6.0,0
Udiapole,12,Fri,Rainy,80,1.2,0
Udiapole,18,Sun,Clear,527,7.7,1
Udiapole,22,Tue,Rainy,69,1.0,0
Udiapole,9,Wed,Cloudy,525,7.6,1
Bapu Bazaar,9,Thu,Foggy,619,9.0,1
Bapu Bazaar,10,Wed,Cloudy,477,6.9,0
Delhi Gate,20,Fri,Rainy,286,4.2,0
Hathi Pol,6,Mon,Rainy,179,2.6,0
Surajpole,17,Wed,Cloudy,517,7.5,1
Sector 4,3,Thu,Rainy,62,0.9,0
Udiapole,1,Tue,Clear,171,2.5,0
Chetak Circle,13,Sat,Cloudy,152,2.2,0
Sector 4,12,Mon,Foggy,269,3.9,0
Bapu Bazaar,11,Tue,Cloudy,155,2.3,0
Chetak Circle,6,Wed,Clear,168,2.4,0
Chetak Circle,1,Fri,Clear,119,1.7,0
Chetak Circle,12,Sun,Clear,244,3.6,0
Delhi Gate,13,Fri,Clear,235,3.4,0
Bapu Bazaar,16,Thu,Clear,148,2.2,0
Chetak Circle,8,Fri,Foggy,410,6.0,0
Udiapole,16,Mon,Rainy,124,1.8,0
Fatehsagar,7,Fri,Clear,167,2.4,0
Chetak Circle,1,Thu,Clear,133,1.9,0
Delhi Gate,23,Sat,Cloudy,241,3.5,0
Sector 4,12,Wed,Foggy,118,1.7,0
Bapu Bazaar,2,Sun,Foggy,260,3.8,0
Hathi Pol,15,Wed,Rainy,263,3.8,0
Delhi Gate,5,Fri,Foggy,108,1.6,0
Chetak Circle,18,Tue,Cloudy,600,8.7,1
Bapu Bazaar,6,Wed,Cloudy,260,3.8,0
Fatehsagar,9,Sat,Rainy,408,5.9,0
Chetak Circle,8,Fri,Cloudy,398,5.8,0
Delhi Gate,1,Sun,Clear,111,1.6,0
Surajpole,14,Thu,Clear,193,2.8,0
Udiapole,4,Sat,Cloudy,177,2.6,0
Hathi Pol,21,Fri,Rainy,265,3.9,0
Sector 4,3,Sat,Foggy,154,2.2,0
Delhi Gate,19,Wed,Rainy,345,5.0,0
Bapu Bazaar,3,Sun,Foggy,64,0.9,0
Hathi Pol,17,Thu,Cloudy,528,7.7,1
Hathi Pol,3,Fri,Cloudy,285,4.1,0
Hathi Pol,16,Mon,Clear,232,3.4,0
Chetak Circle,11,Thu,Foggy,84,1.2,0
Udiapole,21,Mon,Rainy,232,3.4,0
Chetak Circle,16,Sat,Cloudy,63,0.9,0
Bapu Bazaar,9,Tue,Rainy,468,6.8,0
Chetak Circle,21,Thu,Clear,260,3.8,0
Surajpole,0,Sat,Foggy,151,2.2,0
Udiapole,21,Mon,Foggy,149,2.2,0
Udiapole,23,Wed,Cloudy,56,0.8,0
Bapu Bazaar,17,Wed,Foggy,300,4.4,0
Sector 4,17,Tue,Cloudy,574,8.4,1
Surajpole,13,Thu,Clear,98,1.4,0
Delhi Gate,14,Thu,Foggy,266,3.9,0
Chetak Circle,11,Thu,Cloudy,193,2.8,0
Fatehsagar,3,Sat,Rainy,160,2.3,0
Chetak Circle,2,Sun,Cloudy,295,4.3,0
Hathi Pol,19,Sun,Foggy,479,7.0,0
Chetak Circle,11,Tue,Clear,228,3.3,0
Delhi Gate,6,Thu,Foggy,121,1.8,0
Chetak Circle,10,Sat,Foggy,460,6.7,0
Surajpole,0,Wed,Cloudy,269,3.9,0
Surajpole,5,Mon,Rainy,129,1.9,0
Udiapole,14,Sat,Foggy,293,4.3,0
Bapu Bazaar,14,Sun,Rainy,132,1.9,0
Sector 4,18,Sun,Cloudy,273,4.0,0
Fatehsagar,10,Wed,Rainy,237,3.4,0
Hathi Pol,22,Wed,Cloudy,240,3.5,0
Chetak Circle,1,Mon,Clear,222,3.2,0
Chetak Circle,13,Wed,Rainy,254,3.7,0
Delhi Gate,1,Tue,Rainy,56,0.8,0
Bapu Bazaar,3,Mon,Clear,204,3.0,0
Surajpole,16,Wed,Rainy,59,0.9,0
Fatehsagar,2,Fri,Clear,83,1.2,0
Udiapole,12,Sat,Foggy,85,1.2,0
Surajpole,8,Wed,Cloudy,465,6.8,0
Hathi Pol,6,Tue,Clear,55,0.8,0
Bapu Bazaar,14,Thu,Rainy,201,2.9,0
Hathi Pol,22,Wed,Clear,195,2.8,0
Sector 4,10,Sun,Rainy,652,9.5,1
Udiapole,19,Sun,Foggy,465,6.8,0
Sector 4,1,Sun,Clear,78,1.1,0
Delhi Gate,14,Thu,Foggy,175,2.5,0
Hathi Pol,13,Sun,Cloudy,202,2.9,0
Delhi Gate,19,Fri,Rainy,612,8.9,1
Chetak Circle,21,Wed,Rainy,130,1.9,0
Sector 4,10,Sun,Foggy,390,5.7,0
Bapu Bazaar,2,Mon,Cloudy,201,2.9,0
Hathi Pol,16,Thu,Clear,124,1.8,0
Fatehsagar,11,Fri,Clear,75,1.1,0
Udiapole,23,Mon,Rainy,176,2.6,0
Surajpole,20,Mon,Foggy,164,2.4,0
Bapu Bazaar,14,Mon,Foggy,175,2.5,0
Bapu Bazaar,15,Mon,Clear,275,4.0,0
Delhi Gate,4,Wed,Cloudy,77,1.1,0
Sector 4,19,Sun,Cloudy,495,7.2,1
Hathi Pol,5,Sat,Clear,124,1.8,0
Hathi Pol,18,Wed,Clear,482,7.0,0
Chetak Circle,4,Wed,Foggy,238,3.5,0
Chetak Circle,2,Fri,Cloudy,127,1.8,0
Udiapole,0,Fri,Clear,228,3.3,0
Delhi Gate,5,Sun,Clear,139,2.0,0
Bapu Bazaar,14,Sat,Rainy,225,3.3,0
Hathi Pol,1,Fri,Clear,70,1.0,0
Fatehsagar,2,Sun,Clear,103,1.5,0
Delhi Gate,16,Sun,Cloudy,233,3.4,0
Udiapole,23,Tue,Foggy,152,2.2,0
Udiapole,11,Sat,Cloudy,271,3.9,0
Delhi Gate,17,Fri,Foggy,374,5.4,0
Udiapole,14,Sat,Rainy,121,1.8,0
Delhi Gate,11,Wed,Clear,228,3.3,0
Surajpole,15,Wed,Rainy,69,1.0,0
Delhi Gate,7,Sat,Foggy,161,2.3,0
Sector 4,13,Tue,Cloudy,273,4.0,0
Delhi Gate,16,Tue,Cloudy,263,3.8,0
Udiapole,20,Sat,Rainy,108,1.6,0
Hathi Pol,7,Fri,Foggy,120,1.7,0
Sector 4,14,Thu,Rainy,186,2.7,0
Udiapole,13,Tue,Rainy,158,2.3,0
Chetak Circle,17,Mon,Clear,364,5.3,0
Chetak Circle,19,Wed,Rainy,577,8.4,1
Hathi Pol,6,Sat,Clear,240,3.5,0
Hathi Pol,2,Mon,Clear,249,3.6,0
Sector 4,11,Sat,Cloudy,105,1.5,0
Surajpole,20,Sun,Clear,295,4.3,0
Hathi Pol,23,Wed,Clear,245,3.6,0
Chetak Circle,2,Wed,Cloudy,84,1.2,0
Delhi Gate,19,Tue,Rainy,564,8.2,1
Udiapole,13,Tue,Foggy,180,2.6,0
Chetak Circle,14,Mon,Foggy,295,4.3,0
Chetak Circle,13,Sun,Foggy,286,4.2,0
Surajpole,6,Sat,Rainy,153,2.2,0
Sector 4,16,Sun,Clear,56,0.8,0
Sector 4,11,Wed,Foggy,76,1.1,0
Bapu Bazaar,19,Mon,Rainy,422,6.1,0
Surajpole,3,Thu,Clear,268,3.9,0
Delhi Gate,8,Mon,Cloudy,470,6.8,0
Sector 4,5,Fri,Foggy,279,4.1,0
Udiapole,15,Mon,Clear,248,3.6,0
Hathi Pol,21,Sun,Foggy,221,3.2,0
Surajpole,21,Fri,Foggy,136,2.0,0
Hathi Pol,20,Fri,Foggy,90,1.3,0
Chetak Circle,20,Fri,Clear,172,2.5,0
Udiapole,1,Thu,Rainy,124,1.8,0
Udiapole,23,Mon,Clear,91,1.3,0
Chetak Circle,7,Sun,Foggy,166,2.4,0
Surajpole,10,Mon,Clear,497,7.2,1
Chetak Circle,12,Thu,Cloudy,227,3.3,0
Hathi Pol,16,Wed,Rainy,112,1.6,0
Bapu Bazaar,7,Tue,Clear,277,4.0,0
Udiapole,20,Sun,Cloudy,214,3.1,0
Fatehsagar,17,Sun,Rainy,510,7.4,1
Fatehsagar,17,Mon,Cloudy,555,8.1,1
Hathi Pol,13,Tue,Rainy,176,2.6,0
Delhi Gate,14,Sat,Clear,258,3.8,0
Sector 4,5,Sat,Cloudy,276,4.0,0
Chetak Circle,10,Thu,Foggy,497,7.2,1
Chetak Circle,12,Sat,Cloudy,182,2.6,0
Delhi Gate,0,Sun,Rainy,97,1.4,0
Delhi Gate,5,Sat,Clear,273,4.0,0
Hathi Pol,8,Wed,Rainy,377,5.5,0
Hathi Pol,7,Wed,Cloudy,165,2.4,0
Delhi Gate,10,Wed,Cloudy,417,6.1,0
Udiapole,21,Sat,Foggy,239,3.5,0
Hathi Pol,18,Thu,Clear,379,5.5,0
Bapu Bazaar,23,Fri,Clear,165,2.4,0
Hathi Pol,8,Fri,Cloudy,299,4.4,0
Chetak Circle,16,Tue,Clear,240,3.5,0
Hathi Pol,11,Fri,Foggy,161,2.3,0
Udiapole,13,Fri,Rainy,110,1.6,0
Delhi Gate,14,Wed,Clear,208,3.0,0
Chetak Circle,15,Wed,Cloudy,144,2.1,0
Hathi Pol,21,Sat,Rainy,66,1.0,0
Udiapole,21,Tue,Rainy,173,2.5,0
Bapu Bazaar,19,Mon,Foggy,447,6.5,0
Hathi Pol,0,Sun,Cloudy,165,2.4,0
Udiapole,9,Tue,Clear,365,5.3,0
Bapu Bazaar,7,Tue,Cloudy,131,1.9,0
Delhi Gate,17,Thu,Rainy,302,4.4,0
Hathi Pol,0,Sat,Cloudy,295,4.3,0
Bapu Bazaar,1,Thu,Clear,255,3.7,0
Chetak Circle,0,Tue,Clear,291,4.2,0
Delhi Gate,0,Tue,Foggy,128,1.9,0
Chetak Circle,8,Tue,Clear,379,5.5,0
Fatehsagar,12,Fri,Clear,119,1.7,0
Surajpole,0,Sun,Cloudy,76,1.1,0
Hathi Pol,12,Sun,Cloudy,64,0.9,0
Bapu Bazaar,19,Thu,Rainy,411,6.0,0
Surajpole,21,Tue,Foggy,85,1.2,0
Surajpole,6,Sun,Cloudy,296,4.3,0
Bapu Bazaar,1,Wed,Clear,57,0.8,0
Delhi Gate,5,Sun,Rainy,128,1.9,0
Hathi Pol,6,Sat,Cloudy,180,2.6,0
Fatehsagar,13,Sat,Foggy,239,3.5,0
Chetak Circle,17,Sun,Foggy,343,5.0,0
Udiapole,14,Wed,Rainy,254,3.7,0
Chetak Circle,1,Sat,Rainy,154,2.2,0
Udiapole,9,Fri,Rainy,452,6.6,0
Chetak Circle,22,Sun,Rainy,265,3.9,0
Bapu Bazaar,11,Fri,Rainy,281,4.1,0
Fatehsagar,16,Sun,Clear,145,2.1,0
Hathi Pol,7,Mon,Clear,238,3.5,0
Udiapole,10,Mon,Cloudy,360,5.2,0
Hathi Pol,2,Mon,Foggy,271,3.9,0
Hathi Pol,5,Sat,Clear,165,2.4,0
Hathi Pol,8,Fri,Clear,533,7.8,1
Sector 4,5,Fri,Clear,62,0.9,0
Delhi Gate,8,Fri,Cloudy,340,4.9,0
Chetak Circle,6,Wed,Rainy,83,1.2,0
Hathi Pol,8,Fri,Cloudy,557,8.1,1
Chetak Circle,17,Wed,Foggy,485,7.1,1
Hathi Pol,11,Mon,Foggy,285,4.1,0
Udiapole,7,Mon,Foggy,127,1.8,0
Delhi Gate,7,Sat,Foggy,170,2.5,0
Delhi Gate,17,Sun,Clear,350,5.1,0
Bapu Bazaar,19,Mon,Clear,365,5.3,0
Sector 4,14,Sun,Cloudy,131,1.9,0
Bapu Bazaar,6,Sun,Rainy,295,4.3,0
Bapu Bazaar,10,Sat,Foggy,516,7.5,1
Bapu Bazaar,19,Tue,Cloudy,511,7.4,1
Bapu Bazaar,15,Tue,Clear,296,4.3,0
Bapu Bazaar,3,Thu,Clear,208,3.0,0
Fatehsagar,5,Sat,Rainy,241,3.5,0
Delhi Gate,21,Thu,Rainy,202,2.9,0
Bapu Bazaar,2,Thu,Rainy,87,1.3,0
Hathi Pol,8,Tue,Cloudy,393,5.7,0
Delhi Gate,9,Sat,Clear,565,8.2,1
Delhi Gate,13,Tue,Clear,140,2.0,0
Surajpole,10,Thu,Rainy,297,4.3,0
Fatehsagar,17,Sat,Foggy,476,6.9,0
Bapu Bazaar,21,Thu,Rainy,258,3.8,0
Chetak Circle,11,Fri,Cloudy,150,2.2,0
Udiapole,22,Sun,Rainy,255,3.7,0
Sector 4,11,Sat,Rainy,138,2.0,0
Hathi Pol,12,Sat,Cloudy,105,1.5,0
Chetak Circle,12,Sun,Rainy,143,2.1,0
Fatehsagar,18,Thu,Clear,315,4.6,0
Udiapole,18,Fri,Foggy,471,6.9,0
Fatehsagar,22,Wed,Rainy,134,2.0,0
Hathi Pol,13,Sun,Cloudy,238,3.5,0
Delhi Gate,3,Tue,Foggy,294,4.3,0
Udiapole,12,Thu,Cloudy,71,1.0,0
Delhi Gate,7,Sun,Foggy,84,1.2,0
Hathi Pol,22,Sun,Foggy,278,4.0,0
Chetak Circle,20,Sat,Rainy,65,0.9,0
Hathi Pol,22,Tue,Clear,99,1.4,0
Chetak Circle,18,Tue,Rainy,411,6.0,0
Udiapole,11,Tue,Cloudy,177,2.6,0
Udiapole,17,Sun,Cloudy,405,5.9,0
Bapu Bazaar,5,Wed,Foggy,220,3.2,0
Fatehsagar,17,Mon,Foggy,273,4.0,0
Bapu Bazaar,18,Thu,Clear,515,7.5,1
Fatehsagar,21,Mon,Rainy,235,3.4,0
Bapu Bazaar,4,Sun,Cloudy,296,4.3,0
Delhi Gate,23,Mon,Foggy,179,2.6,0
Udiapole,8,Sun,Clear,485,7.1,1
Chetak Circle,2,Mon,Cloudy,134,2.0,0
Fatehsagar,9,Tue,Foggy,519,7.6,1
Hathi Pol,18,Fri,Cloudy,552,8.0,1
Fatehsagar,2,Tue,Clear,143,2.1,0
Chetak Circle,21,Tue,Clear,183,2.7,0
Bapu Bazaar,14,Sat,Cloudy,130,1.9,0
Fatehsagar,0,Sat,Rainy,280,4.1,0
Sector 4,6,Mon,Cloudy,266,3.9,0
Delhi Gate,11,Sun,Foggy,118,1.7,0
